precinct_id,avg_biss,avg_abughazaleh,avg_fine,avg_simmons,avg_amiwala,avg_huynh,avg_andrew,pct_biss_wins,pct_fine_wins,pct_abughazaleh_wins
MCHENRY:ALG 15,28.503317,17.521019,27.078087,6.9310379,6.7841306,3.630012,9.5521908,51.818001,43.75,4.4320002
LAKE:WAUCONDA 344,28.662956,17.091036,27.68383,6.7779398,6.6472406,3.5516148,9.5851946,50.549,45.830002,3.6210001
LAKE:WAUCONDA 350,28.663406,17.06683,27.859035,6.807364,6.6415939,3.4479501,9.5139828,50.101002,46.515999,3.3829999
MCHENRY:ALG 61,28.958372,17.199329,27.220163,7.0534945,6.3836055,3.7880008,9.3974781,53.390999,42.924,3.6849999
LAKE:ELA 89,29.024328,16.335827,28.314774,7.1214151,6.0727291,3.6701431,9.4608583,50.162998,47.247002,2.5899999
LAKE:ELA 79,29.141399,16.326044,28.570318,6.8079572,6.1732869,3.5318646,9.4490795,49.736,47.827,2.437
MCHENRY:ALG 24,28.810314,17.209387,27.081137,6.8777385,6.543869,3.8519104,9.6258497,53.458,42.709,3.8329999
LAKE:VERNON 285,37.533943,20.411726,19.328417,9.478054,4.6744618,4.3152499,4.258101,94.477997,3.171,2.3510001
MCHENRY:ALG 20,28.57069,17.553373,27.046091,7.0142002,6.7300105,3.6216965,9.4638767,52.320999,43.23,4.4489999
MCHENRY:ALG 44,28.731165,17.229258,27.47369,7.0749493,6.5177588,3.5816412,9.3915548,51.585999,44.625,3.789
MCHENRY:ALG 45,28.582201,17.344484,27.543306,6.8230281,6.755415,3.4612296,9.490057,50.741001,45.32,3.9389999
LAKE:ELA 88,29.038879,16.182953,28.425169,7.223938,5.9839182,3.6864927,9.4583759,49.862,47.741001,2.3970001
MCHENRY:ALG 1,29.145947,16.854979,27.679497,6.8228507,6.2883534,3.7547505,9.4537296,52.797001,44.069,3.1340001
MCHENRY:ALG 13,28.863237,16.637579,27.890287,6.9867296,6.2963238,3.7242281,9.6015978,50.842999,46.099998,3.0569999
LAKE:VERNON 284,30.189051,28.40733,15.716315,10.583139,6.3511209,4.6467609,4.1059327,55.485001,3.187,41.328999
MCHENRY:ALG 38,28.668137,16.841032,27.448921,7.1215997,6.4012747,3.8459275,9.6729546,51.615002,44.986,3.3989999
MCHENRY:ALG 63,29.036604,16.687675,28.19636,6.8483605,6.3254671,3.5087023,9.396925,50.548,46.612999,2.839
